id_punto,nombre ,latitud,longitud
1,ANGAT,-23.151944,-68.553056
2,ARMOS,-24.291667,-67.979167
3,ASALA,-27.675556,-108.439444
4,BAL,-45.913056,-71.7125
5,EDSUK,-31.416667,-90
6,EL138,-33.401844,-70.642517
7,GE025,-37.353156,-72.419825
8,GUVOL,-32.375,-70.225
9,IVDM,-32.94416667,-71.47027778
10,MUBIL,-38.915556,-72.252222
11,MUKSO,-43.280278,-72.974444
12,MUNER,-52,-71.31
13,OPURA,-45.268611,-71.955
14,REKET,-44.098889,-72.380833
15,SASTI,-42.591944,-73.228333
16,SIROV,-34.584722,-70.622778
17,SOTKU,-21.866667,-68.0625
18,TESEX,-38.931111,-71.433611
19,URIDA,-43.275278,-72.670556
20,VUDAP,-23.143889,-68.805